id,name,state_code,latitude,longitude
133701,Ramnagar,Bihar,27.16371,84.32342
133702,Ramnagar,Jammu and Kashmir,32.80728,75.31119
133703,Ramnagar,,29.3925,79.1283
133704,Ramnagar,Uttar Pradesh,25.26907,83.02971
133705,Rampur,Uttar Pradesh,28.81014,79.02699
133706,Rampur,Himachal Pradesh,31.44943,77.63087
133707,Rampura,Uttar Pradesh,26.34967,79.18234
133708,Rampura,Punjab,30.256,75.24116
133709,Rampura,Madhya Pradesh,24.467,75.43996
133710,Ramtek,Maharashtra,21.39562,79.32725
133711,Ramanuj Ganj,Chhattisgarh,23.80637,83.69981
133712,Ramapuram,Andhra Pradesh,15.28749,77.86722
133714,Rani,Rajasthan,25.35031,73.30885
133715,Rania,Haryana,29.52454,74.83689
133716,Ranikhet,,29.64082,79.43229
133717,Ranapur,Madhya Pradesh,22.64704,74.52118
133718,Ranavav,Gujarat,21.68734,69.74485
133719,Ranibennur,Karnataka,14.62239,75.62951
133720,Ranipur,Uttar Pradesh,25.25034,79.06204
133721,Ranir Bazar,Tripura,23.83463,91.36614
133722,Rapar,Gujarat,23.57267,70.64718
133723,Rath,Uttar Pradesh,25.59474,79.5666
133724,Raver,Maharashtra,21.24757,76.03509
133725,Rawatbhata,Rajasthan,24.92981,75.59209
133726,Rawatsar,Rajasthan,29.26724,74.40288
133727,Ray,Jharkhand,23.6843,85.05457
133728,Raya,Uttar Pradesh,27.55607,77.78972
133729,Rayachoti,Andhra Pradesh,14.05723,78.75056
133730,Rayadrug,Andhra Pradesh,14.69971,76.85241
133731,Raybag,Karnataka,16.49178,74.77391
133732,Razampeta,Andhra Pradesh,14.19544,79.15896
133733,Razole,Andhra Pradesh,16.47608,81.83912
133734,Razam,Andhra Pradesh,18.44909,83.65957
133735,Raiwala Bara,,30.01864,78.2293
133736,Ringas,Rajasthan,27.3636,75.56838
133737,Rudarpur,Uttar Pradesh,26.44467,83.61302
133738,Sabalgarh,Madhya Pradesh,26.24918,77.40786
133739,Sabar Kantha,Gujarat,23.62974,73.00197
133740,Sabrum,Tripura,23.00153,91.72427
133741,Sabathu,Himachal Pradesh,30.97494,76.99137
133742,Sachin,Gujarat,21.08718,72.88153
133743,Sadalgi,Karnataka,16.5587,74.53211
133744,Sadabad,Uttar Pradesh,27.43818,78.03758
133745,Sadaseopet,Telangana,17.61925,77.95263
133746,Safidon,Haryana,29.40596,76.67042
133747,Safipur,Uttar Pradesh,26.73783,80.3435
133748,Sagauli,Bihar,26.7639,84.74341
133749,Saharsa,Bihar,25.87498,86.59611
133750,Sahaspur,Uttar Pradesh,29.12125,78.62273
133751,Sahaswan,Uttar Pradesh,28.07227,78.75082
133752,Sahibganj,Jharkhand,24.99354,87.67333
133753,Saharanpur,Uttar Pradesh,29.9,77.68333
133754,Sahawar,Uttar Pradesh,27.79603,78.83373
133755,Saidpur,Uttar Pradesh,25.53749,83.22378
133756,Saiha,Mizoram,22.49183,92.98143
133757,Sailana,Madhya Pradesh,23.46219,74.92318
133758,Saint Thomas Mount,Tamil Nadu,13.00334,80.19614
133759,Sairang,Mizoram,23.81034,92.65226
133760,Sakleshpur,Karnataka,12.94119,75.78467
133761,Sakti,Chhattisgarh,22.02662,82.96091
133762,Sakit,Uttar Pradesh,27.43463,78.77903
133763,Salem,Tamil Nadu,11.6537012,77.9982106
133764,Saligao,Goa,15.55359,73.79036
133765,Salon,Uttar Pradesh,26.02857,81.45403
133766,Salaya,Gujarat,22.31038,69.60376
133767,Samastipur,Bihar,25.75,85.91667
133768,Samba,Jammu and Kashmir,32.57523,75.10929
133769,Sambalpur,Odisha,21.4,83.88333
133770,Sambhal,Uttar Pradesh,28.58498,78.56959
133771,Samdari,Rajasthan,25.81299,72.57879
133772,Samrala,Punjab,30.83601,76.19324
133773,Samthar,Uttar Pradesh,25.84348,78.90683
133774,Samalkha,Haryana,29.23552,77.01273
133776,Sanaur,Punjab,30.30182,76.45786
133777,Sancoale,Goa,15.37794,73.90352
133778,Sandila,Uttar Pradesh,27.06989,80.51497
133779,Sandur,Karnataka,15.08613,76.54692
133780,Sangamner,Maharashtra,19.56784,74.21154
133781,Sangaria,Rajasthan,29.79886,74.46683
133782,Sangli,Maharashtra,17.11202,74.7699
133783,Sangod,Rajasthan,24.92707,76.28649
133785,Sangrur,Punjab,30.24506,75.84488
133786,Sanguem,Goa,15.22901,74.15149
133787,Sangareddi,Telangana,17.62477,78.08669
133788,Sanivarsante,Karnataka,12.72824,75.88669
133789,Sankeshwar,Karnataka,16.25649,74.48195
133790,Sankheda,Gujarat,22.17021,73.5782
133791,Sanquelim,Goa,15.56422,74.00799
133792,Sant Kabir Nagar,Uttar Pradesh,26.79016,83.03481
133793,Sant Ravi Das Nagar,Uttar Pradesh,25.35792,82.4308
133794,Santokhgarh,Himachal Pradesh,31.35205,76.31775
133795,Sanvordem,Goa,15.26269,74.11965
133796,Sanawad,Madhya Pradesh,22.17391,76.06993
133797,Saoner,Maharashtra,21.3851,78.92155
133798,Sapatgram,Assam,26.33732,90.1236
133799,Sarai Ekdil,Uttar Pradesh,26.74442,79.09353
133800,Saraikela,Jharkhand,22.69963,85.93126
133801,Saraipali,Chhattisgarh,21.3153,83.00629
133802,Sarauli,Uttar Pradesh,28.49404,79.09177
133803,Sardhana,Uttar Pradesh,29.14551,77.61433
133804,Sardulgarh,Punjab,29.69224,75.23608
133805,Sardarshahr,Rajasthan,28.44062,74.491
133806,Sargur,Karnataka,11.99971,76.39611
133807,Sarka Ghat,Himachal Pradesh,31.69887,76.73529
133808,Sarkhej,Gujarat,22.98297,72.50196
133809,Sarupathar,Assam,26.206,96.81
133810,Sarwar,Rajasthan,26.06272,75.01104
133811,Sarahan,Himachal Pradesh,31.50988,77.79395
133812,Sarai Mir,Uttar Pradesh,26.02705,82.91843
133813,Sarai Akil,Uttar Pradesh,25.3789,81.51035
133814,Sarila,Uttar Pradesh,25.77579,79.67535
133815,Satara,Maharashtra,17.68589,73.99333
133816,Satara Division,Maharashtra,17.72601,74.06433
133817,Sathankulam,Tamil Nadu,8.44164,77.91349
133818,Sathupalli,Telangana,17.24968,80.86899
133819,Sathyamangalam,Tamil Nadu,11.50526,77.23826
133820,Satna,Madhya Pradesh,24.5,81.0
133821,Satrikh,Uttar Pradesh,26.86045,81.19567
133822,Sattenapalle,Andhra Pradesh,16.39381,80.15221
133823,Sattur,Tamil Nadu,9.35592,77.92457
133824,Satwas,Madhya Pradesh,22.53628,76.68452
133825,Satana,Maharashtra,20.59483,74.20301
133826,Saugor,Madhya Pradesh,23.83877,78.73874
133827,Saundatti,Karnataka,15.76615,75.11778
133828,Saurikh,Uttar Pradesh,27.03051,79.48813
133829,Sausar,Madhya Pradesh,21.65576,78.79669
133830,Savanur,Karnataka,14.97335,75.33724
133831,Savarkundla,Gujarat,21.33726,71.3035
133832,Sawai Madhopur,Rajasthan,26.02301,76.34408
133833,Sector,Uttar Pradesh,28.5708,77.3261
133834,Secunderabad,Telangana,17.50427,78.54263
